Site,coresec,interval,depth,age,1302,1300,1298,1296,1292,1292',1050-1,1050-2,H-1048,H-1048b-1,H-1048b-2,1036-1,1036-2,1034-1,1034-2,H-1034a,H-1034b,H-1034c,H-1034tot,1032-1,1032-2,1022,1020,H-1020p,H-1020a,H-1020b,H-1020c,H-1020tot,1018,1050-tot,1036-tot,1034-tot,1032-tot,,,
1172A,45X-3W,22-24 cm,415.52,39.9259,1.43E+07,3.47E+06,4.28E+06,1.13E+06,2.64E+07,3.01E+06,2.71E+05,3.25E+05,1.16E+04,6.63E+03,1.18E+04,8.56E+05,3.43E+05,1.57E+05,1.93E+05,3.61E+03,6.02E+04,9.32E+04,1.57E+05,3.77E+04,5.42E+04,7.59E+06,5.50E+05,2.17E+04,7.95E+05,4.30E+05,4.64E+05,1.69E+06,2.29E+05,5.96E+05,1.20E+06,3.50E+05,9.19E+04,,,
1172A,45X-3W,102-104,416.22,39.9532,1.73E+07,4.24E+06,4.53E+06,1.19E+06,2.86E+07,3.16E+06,3.28E+05,3.80E+05,1.25E+04,7.95E+03,1.28E+04,9.58E+05,3.88E+05,1.64E+05,2.33E+05,3.93E+03,6.59E+04,9.10E+04,1.61E+05,3.73E+04,6.19E+04,8.13E+06,5.03E+05,2.03E+04,7.40E+05,4.10E+05,4.45E+05,1.60E+06,2.25E+05,7.08E+05,1.35E+06,3.97E+05,9.92E+04,,,
1172A,45X-4W,10-12 cm,416.8,39.9759,9.79E+06,2.16E+06,2.03E+06,6.65E+05,1.49E+07,1.39E+06,2.07E+05,2.25E+05,6.07E+03,7.94E+03,8.68E+03,5.58E+05,2.00E+05,8.95E+04,1.20E+05,2.52E+03,4.04E+04,5.10E+04,9.39E+04,2.24E+04,3.46E+04,5.34E+06,2.98E+05,2.04E+04,5.87E+05,3.85E+05,3.19E+05,1.29E+06,1.40E+05,4.32E+05,7.58E+05,2.10E+05,5.70E+04,,,
1172A,45X-4W,102-104 cm,417.72,40.0118,1.91E+07,4.68E+06,4.90E+06,1.52E+06,2.90E+07,3.29E+06,4.19E+05,4.50E+05,1.64E+04,1.85E+04,1.12E+04,1.22E+06,4.39E+05,1.74E+05,2.42E+05,3.40E+03,8.81E+04,1.04E+05,1.96E+05,4.29E+04,6.26E+04,1.21E+07,6.34E+05,3.49E+04,8.19E+05,4.70E+05,6.39E+05,1.93E+06,2.99E+05,8.69E+05,1.66E+06,4.16E+05,1.06E+05,,,
1172A,45X-5W,10-12 cm,418.3,40.0345,9.19E+06,2.15E+06,2.14E+06,5.90E+05,1.46E+07,1.52E+06,2.04E+05,2.29E+05,8.56E+03,7.82E+03,8.47E+03,5.53E+05,2.20E+05,7.81E+04,1.39E+05,4.15E+03,4.32E+04,5.69E+04,1.04E+05,2.07E+04,3.56E+04,5.50E+06,3.07E+05,2.86E+04,5.78E+05,4.71E+05,3.15E+05,1.36E+06,1.41E+05,4.33E+05,7.73E+05,2.17E+05,5.63E+04,,,
1172A,45X-5W,92-94 cm,419.12,40.0665,2.27E+07,5.05E+06,4.25E+06,1.46E+06,3.05E+07,2.79E+06,4.59E+05,5.07E+05,1.54E+04,5.51E+03,8.73E+03,1.32E+06,4.06E+05,1.76E+05,2.43E+05,4.51E+03,8.86E+04,8.69E+04,1.80E+05,4.58E+04,6.54E+04,1.23E+07,6.33E+05,2.69E+04,8.14E+05,4.82E+05,6.33E+05,1.93E+06,2.98E+05,9.66E+05,1.73E+06,4.19E+05,1.11E+05,,,
1172A,45X-6W,32-34 cm,420.02,40.1017,1.91E+07,4.02E+06,3.11E+06,1.25E+06,2.37E+07,1.88E+06,3.44E+05,3.52E+05,1.08E+04,2.24E+03,6.86E+03,1.02E+06,2.73E+05,1.32E+05,1.63E+05,1.00E+03,6.55E+04,6.10E+04,1.27E+05,3.21E+04,4.33E+04,9.32E+06,4.83E+05,1.61E+04,7.06E+05,4.71E+05,5.28E+05,1.71E+06,2.31E+05,6.96E+05,1.29E+06,2.95E+05,7.54E+04,,,
1172A,45X-6W,122-124 cm,420.92,40.1369,2.51E+07,4.64E+06,3.47E+06,1.26E+06,3.53E+07,2.11E+06,3.17E+05,3.21E+05,1.10E+04,0.00E+00,0.00E+00,1.03E+06,3.30E+05,1.12E+05,1.66E+05,0.00E+00,6.84E+04,5.27E+04,1.21E+05,2.88E+05,4.25E+05,1.01E+07,5.05E+05,3.12E+04,6.21E+05,4.49E+05,5.08E+05,1.58E+06,2.38E+05,6.38E+05,1.36E+06,2.78E+05,7.13E+05,,,
1172A,45X-7W,42-44 cm,421.62,40.2096,2.46E+07,4.69E+06,3.80E+06,1.18E+06,3.56E+07,2.28E+06,3.24E+05,3.22E+05,9.28E+03,5.50E+03,9.03E+03,1.00E+06,3.07E+05,1.15E+05,1.59E+05,0.00E+00,6.09E+04,4.14E+04,1.02E+05,2.89E+04,4.33E+04,9.79E+06,4.88E+05,2.09E+04,5.49E+05,3.51E+05,4.93E+05,1.39E+06,2.34E+05,6.46E+05,1.31E+06,2.74E+05,7.22E+04,,,
1172A,46X-1W,10-12 cm,421.9,40.2410,1.64E+07,3.02E+06,2.10E+06,6.55E+05,1.99E+07,1.34E+06,1.87E+05,2.02E+05,5.74E+03,3.88E+03,4.93E+03,5.19E+05,1.66E+05,6.85E+04,1.30E+05,0.00E+00,3.57E+04,3.65E+04,7.22E+04,1.67E+04,3.64E+04,4.68E+06,2.65E+05,1.93E+04,3.86E+05,3.11E+05,2.03E+05,9.00E+05,1.31E+05,3.89E+05,6.85E+05,1.99E+05,5.31E+04,,,
1172A,46X-1W,112-114 cm,422.92,40.3555,3.78E+07,7.65E+06,5.55E+06,2.05E+06,4.42E+07,3.48E+06,6.35E+05,6.42E+05,1.69E+04,5.25E+03,9.85E+03,1.64E+06,5.19E+05,2.03E+05,3.77E+05,2.92E+03,1.09E+05,1.10E+05,2.22E+05,5.19E+04,9.03E+04,1.43E+07,8.05E+05,4.84E+04,1.18E+06,8.62E+05,7.44E+05,2.79E+06,3.92E+05,1.28E+06,2.16E+06,5.80E+05,1.42E+05,,,
1172A,46X-2W,10-12 cm,423.4,40.4093,1.61E+07,3.55E+06,2.70E+06,1.03E+06,2.05E+07,1.65E+06,2.53E+05,2.49E+05,5.38E+03,2.32E+03,2.79E+03,6.42E+05,2.04E+05,8.41E+04,1.23E+05,1.00E+03,4.12E+04,2.95E+04,7.17E+04,2.21E+04,3.17E+04,6.23E+06,3.42E+05,1.31E+04,3.59E+05,2.20E+05,3.63E+05,9.42E+05,1.67E+05,5.02E+05,8.46E+05,2.07E+05,5.38E+04,,,
1172A,46X-2W,92-94 cm,424.22,40.5014,1.93E+07,3.81E+06,2.77E+06,1.03E+06,2.42E+07,1.85E+06,3.19E+05,3.66E+05,8.12E+03,3.70E+03,6.90E+03,8.01E+05,3.10E+05,1.37E+05,2.11E+05,2.75E+03,5.67E+04,5.26E+04,1.12E+05,2.67E+04,5.96E+04,7.78E+06,4.17E+05,4.10E+04,8.24E+05,6.03E+05,4.76E+05,1.90E+06,1.84E+05,6.85E+05,1.11E+06,3.48E+05,8.63E+04,,,
1172A,46X-3W,10-12 cm,424.9,40.5777,6.79E+06,1.41E+06,1.27E+06,3.69E+05,9.92E+06,8.35E+05,1.16E+05,1.47E+05,3.78E+03,2.98E+03,6.61E+03,3.05E+05,1.18E+05,5.70E+04,7.78E+04,1.00E+03,2.33E+04,2.60E+04,5.03E+04,9.36E+03,2.10E+04,3.14E+06,1.63E+05,1.24E+04,3.80E+05,2.79E+05,2.05E+05,8.64E+05,7.48E+04,2.63E+05,4.23E+05,1.35E+05,3.04E+04,,,
1172A,46X-3W,82-84 cm,425.62,40.6585,3.36E+07,6.92E+06,5.11E+06,1.89E+06,3.96E+07,3.30E+06,5.12E+05,5.87E+05,1.52E+04,7.42E+03,2.74E+04,1.50E+06,4.46E+05,2.07E+05,3.28E+05,0.00E+00,1.03E+05,1.08E+05,2.11E+05,4.86E+04,8.45E+04,1.52E+07,7.96E+05,5.80E+04,1.14E+06,7.45E+05,8.84E+05,2.77E+06,4.16E+05,1.10E+06,1.95E+06,5.35E+05,1.33E+05,,,
1172A,46X-4W,10-12 cm,426.4,40.7460,1.84E+07,3.73E+06,2.88E+06,1.05E+06,2.26E+07,1.84E+06,3.13E+05,3.46E+05,8.63E+03,1.67E+04,1.35E+04,8.74E+05,2.67E+05,1.17E+05,1.87E+05,0.00E+00,5.64E+04,5.57E+04,1.12E+05,2.68E+04,4.37E+04,8.70E+06,4.64E+05,2.70E+04,5.69E+05,3.84E+05,4.25E+05,1.38E+06,2.21E+05,6.59E+05,1.14E+06,3.04E+05,7.05E+04,,,
1172A,46X-4W,92-94 cm,427.22,40.8380,1.74E+07,3.60E+06,2.72E+06,1.04E+06,2.17E+07,1.67E+06,2.95E+05,3.14E+05,8.69E+03,1.00E+03,2.38E+04,8.79E+05,2.40E+05,1.17E+05,1.55E+05,3.10E+03,5.63E+04,5.57E+04,1.15E+05,2.82E+04,4.28E+04,8.74E+06,4.71E+05,2.46E+04,4.99E+05,3.59E+05,4.76E+05,1.33E+06,2.30E+05,6.09E+05,1.12E+06,2.72E+05,7.10E+04,,,
1172A,46X-5W,10-12 cm,427.9,40.9143,4.74E+07,1.20E+07,9.90E+06,3.47E+06,6.17E+07,6.94E+06,1.08E+06,1.24E+06,3.48E+04,1.36E+04,2.19E+04,3.33E+06,1.08E+06,4.59E+05,6.64E+05,8.86E+03,2.37E+05,2.56E+05,5.01E+05,1.03E+05,1.77E+05,3.17E+07,1.91E+06,1.90E+05,3.03E+06,2.36E+06,2.17E+06,7.56E+06,2.17E+06,2.32E+06,4.41E+06,1.12E+06,2.80E+05,,,
1172A,46X-5W,114-116 cm,428.96,41.0333,3.68E+07,8.40E+06,6.68E+06,2.36E+06,4.60E+07,4.32E+06,6.90E+05,7.57E+05,1.82E+04,5.75E+03,1.64E+04,1.81E+06,6.00E+05,2.71E+05,3.67E+05,5.83E+03,1.19E+05,1.30E+05,2.55E+05,6.07E+04,9.66E+04,1.75E+07,9.66E+05,5.86E+04,1.44E+06,9.99E+05,1.12E+06,3.56E+06,4.70E+05,1.45E+06,2.41E+06,6.38E+05,1.57E+05,,,
1172A,46X-7W,10-12 cm,430.9,41.2580,2.74E+07,5.49E+06,5.02E+06,1.67E+06,3.59E+07,3.29E+06,5.04E+05,5.83E+05,1.39E+04,6.91E+03,1.70E+04,1.38E+06,5.05E+05,1.92E+05,2.82E+05,3.64E+03,1.05E+05,1.19E+05,2.28E+05,3.79E+04,6.64E+04,1.32E+07,7.87E+05,8.24E+04,1.60E+06,1.16E+06,1.04E+06,3.80E+06,3.92E+05,1.09E+06,1.89E+06,4.74E+05,1.04E+05,,,
1172A,47X-2W,10-12 cm,433,41.4658,1.49E+07,3.45E+06,2.92E+06,9.98E+05,2.12E+07,2.03E+06,2.64E+05,2.90E+05,1.59E+04,1.04E+04,3.10E+04,7.34E+05,2.74E+05,1.16E+05,1.68E+05,2.35E+03,5.13E+04,6.22E+04,1.16E+05,2.65E+04,4.44E+04,7.78E+06,4.26E+05,2.26E+04,7.07E+05,5.16E+05,4.76E+05,1.70E+06,2.05E+05,5.54E+05,1.01E+06,2.84E+05,7.09E+04,,,
1172A,47X-5W,10-12 cm,437.5,41.8071,2.37E+07,5.63E+06,5.03E+06,1.82E+06,3.26E+07,3.30E+06,4.48E+05,4.53E+05,2.95E+04,2.94E+04,6.15E+04,1.31E+06,4.13E+05,1.53E+05,2.00E+05,3.41E+03,9.20E+04,8.75E+04,1.83E+05,4.10E+04,4.76E+04,1.32E+07,6.90E+05,3.67E+04,9.92E+05,7.07E+05,7.62E+05,2.46E+06,3.40E+05,9.01E+05,1.72E+06,3.53E+05,8.86E+04,,,
1172A,48R-3W,10-12 cm,444.1,42.3094,1.59E+07,3.40E+06,3.25E+06,9.53E+05,2.16E+07,1.88E+06,2.50E+05,2.71E+05,9.43E+03,6.02E+03,2.51E+04,5.61E+05,2.20E+05,1.02E+05,1.42E+05,2.06E+03,3.81E+04,4.06E+04,8.08E+04,2.02E+04,3.45E+04,4.89E+06,3.35E+05,2.56E+04,6.53E+05,4.50E+05,3.45E+05,1.45E+06,1.60E+05,5.21E+05,7.81E+05,2.44E+05,5.47E+04,,,
1172A,48X-6W,10-12 cm,448.6,42.7332,3.58E+07,9.62E+06,9.73E+06,3.27E+06,5.39E+07,6.86E+06,7.78E+05,9.23E+05,2.90E+04,9.74E+03,2.77E+04,2.08E+06,8.68E+05,3.81E+05,5.14E+05,7.17E+03,1.49E+05,1.52E+05,3.08E+05,8.92E+04,1.45E+05,2.14E+07,1.28E+06,1.18E+05,2.24E+06,1.58E+06,1.41E+06,5.23E+06,6.07E+05,1.70E+06,2.95E+06,8.95E+05,2.34E+05,,,
1172A,49X-2W,10-12 cm,452.2,43.0722,1.70E+07,3.59E+06,3.15E+06,9.39E+05,2.34E+07,2.13E+06,2.71E+05,3.40E+05,6.69E+03,1.02E+04,7.74E+03,5.57E+05,2.51E+05,1.27E+05,1.69E+05,2.42E+03,3.98E+04,5.22E+04,9.45E+04,2.78E+04,5.05E+04,5.28E+06,3.57E+05,3.55E+04,7.42E+05,5.22E+05,3.27E+05,1.59E+06,1.79E+05,6.11E+05,8.08E+05,2.96E+05,7.83E+04,,,
1172A,49X-4W,10-12 cm,455.1,43.3453,1.22E+07,2.37E+06,1.87E+06,6.02E+05,1.59E+07,1.13E+06,1.77E+05,2.00E+05,2.77E+03,2.89E+03,1.00E+03,2.97E+05,1.23E+05,6.97E+04,9.52E+04,0.00E+00,1.56E+04,1.56E+04,3.12E+04,1.26E+04,2.51E+04,2.47E+06,1.79E+05,1.06E+04,3.10E+05,1.86E+05,1.29E+05,6.25E+05,9.00E+04,3.77E+05,4.20E+05,1.65E+05,3.77E+04,,,
1172A,49X-7W,10-12 cm,459.7,43.5509,8.51E+06,1.90E+06,1.83E+06,5.47E+05,3.10E+07,1.05E+06,1.20E+05,1.14E+05,3.96E+03,1.00E+03,3.09E+03,3.03E+05,1.00E+05,5.50E+04,6.80E+04,0.00E+00,2.30E+04,2.36E+04,4.67E+04,1.30E+04,1.82E+04,3.40E+06,2.15E+05,1.58E+04,3.70E+05,3.19E+05,2.73E+05,9.62E+05,1.08E+05,2.34E+05,4.03E+05,1.23E+05,3.12E+04,,,
1172A,51X-1W,10-12 cm,469.8,43.8809,4.99E+06,1.15E+06,1.03E+06,3.55E+05,7.45E+06,6.80E+05,9.70E+04,1.02E+05,3.75E+03,1.00E+03,4.59E+03,2.42E+05,9.56E+04,3.69E+04,6.36E+04,1.00E+03,1.97E+04,3.16E+04,5.22E+04,1.10E+04,1.93E+04,2.82E+06,1.57E+05,9.20E+03,3.30E+05,2.02E+05,1.81E+05,7.13E+05,8.14E+04,1.99E+05,3.38E+05,1.01E+05,3.03E+04,,,
1172A,51X-2W,10-12 cm,471.4,43.9331,2.88E+07,6.98E+06,5.96E+06,2.10E+06,3.91E+07,3.55E+06,4.22E+05,4.65E+05,1.15E+04,2.22E+03,6.95E+03,1.16E+06,4.15E+05,1.98E+05,2.37E+05,2.93E+03,8.04E+04,8.27E+04,1.66E+05,4.97E+04,7.10E+04,1.34E+07,7.73E+05,3.12E+04,9.97E+05,6.89E+05,8.19E+05,2.51E+06,4.04E+05,8.87E+05,1.58E+06,4.35E+05,1.21E+05,,,
1172A,51X-4W,10-12 cm,474.4,44.0311,2.58E+07,6.17E+06,5.31E+06,1.78E+06,3.47E+07,3.39E+06,4.20E+05,4.62E+05,1.03E+04,3.08E+03,8.23E+03,1.07E+06,3.68E+05,1.79E+05,2.33E+05,2.68E+03,7.74E+04,8.22E+04,1.62E+05,4.47E+04,6.89E+04,1.17E+07,6.73E+05,2.30E+04,1.11E+06,7.68E+05,6.90E+05,2.57E+06,3.39E+05,8.82E+05,1.44E+06,4.12E+05,1.14E+05,,,
1172A,52X-1W,10-12 cm,479.5,44.1978,2.46E+07,5.27E+06,3.94E+06,1.37E+06,3.32E+07,2.69E+06,3.55E+05,4.09E+05,7.43E+03,8.23E+03,1.16E+04,7.80E+05,3.05E+05,1.65E+05,2.43E+05,2.20E+03,5.63E+04,7.18E+04,1.30E+05,3.43E+04,6.89E+04,7.22E+06,4.59E+05,4.23E+04,1.06E+06,7.45E+05,4.11E+05,2.22E+06,2.29E+05,7.64E+05,1.09E+06,4.08E+05,1.03E+05,,,
1172A,52X-4W,10-12 cm,484,44.3448,1.06E+07,2.12E+06,1.56E+06,6.08E+05,1.39E+07,9.31E+05,1.69E+05,1.84E+05,3.32E+03,3.02E+03,2.09E+03,3.64E+05,1.28E+05,7.33E+04,1.03E+05,0.00E+00,2.23E+04,2.20E+04,4.43E+04,1.56E+04,2.97E+04,3.43E+06,2.06E+05,1.28E+04,3.53E+05,2.43E+05,1.78E+05,7.74E+05,1.10E+05,3.53E+05,4.92E+05,1.76E+05,4.53E+04,,,
1172A,52X-6W,10-12 cm,486.9,44.4395,2.08E+07,3.88E+06,2.88E+06,1.04E+06,2.31E+07,1.46E+06,2.52E+05,2.50E+05,4.40E+03,2.18E+03,8.19E+03,5.59E+05,2.14E+05,1.18E+05,1.78E+05,0.00E+00,3.25E+04,2.48E+04,5.73E+04,2.49E+04,5.04E+04,5.49E+06,3.58E+05,2.25E+04,5.33E+05,4.08E+05,3.49E+05,1.29E+06,1.84E+05,5.02E+05,7.73E+05,2.96E+05,7.52E+04,,,
1172A,53X-2W,10-12 cm,490.6,44.5604,1.68E+07,3.62E+06,2.84E+06,1.13E+06,2.28E+07,1.85E+06,2.49E+05,2.64E+05,7.12E+03,1.00E+03,6.62E+03,6.53E+05,2.10E+05,1.04E+05,1.30E+05,0.00E+00,4.78E+04,5.23E+04,1.00E+05,2.55E+04,3.14E+04,6.92E+06,3.89E+05,2.89E+04,7.35E+05,5.80E+05,4.69E+05,1.78E+06,2.00E+05,5.13E+05,8.63E+05,2.34E+05,5.69E+04,,,
1172A,53x-3W,10-12 cm,492.1,44.6094,1.30E+06,3.02E+05,2.57E+05,8.98E+04,1.94E+06,1.56E+05,1.78E+04,1.79E+04,0.00E+00,0.00E+00,0.00E+00,4.88E+04,1.75E+04,7.03E+03,9.53E+03,0.00E+00,5.95E+03,3.78E+03,9.73E+03,1.90E+03,2.34E+03,5.38E+05,3.03E+04,2.82E+03,5.31E+04,5.50E+04,4.54E+04,1.54E+05,1.61E+04,3.57E+04,6.63E+04,,,,,
1172A,53X-4W,10-12 cm,493.6,44.6584,1.55E+07,3.62E+06,3.20E+06,1.04E+06,2.07E+07,1.92E+06,2.29E+05,2.04E+05,9.52E+03,2.42E+03,7.30E+03,5.89E+05,1.78E+05,7.80E+04,1.05E+05,0.00E+00,4.56E+04,5.55E+04,1.01E+05,2.28E+04,3.19E+04,6.73E+06,3.62E+05,3.22E+04,8.56E+05,6.89E+05,5.70E+05,2.12E+06,1.92E+05,4.33E+05,7.67E+05,1.83E+05,5.47E+04,,,
1172A,53x-5W,10-12 cm,495.1,44.7074,9.90E+05,2.11E+05,1.76E+05,5.98E+04,1.48E+06,9.89E+04,1.26E+04,1.29E+04,5.00E+02,0.00E+00,5.00E+02,3.74E+04,1.27E+04,5.83E+03,8.14E+03,0.00E+00,2.54E+03,2.89E+03,5.42E+03,1.44E+03,2.14E+03,4.09E+05,2.26E+04,2.38E+03,4.58E+04,4.53E+04,3.30E+04,1.24E+05,1.20E+04,1.55E+05,4.58E+05,,,,,
1172A,53x-6w,10-12 cm,496.6,44.7564,1.37E+06,2.81E+05,2.51E+05,1.31E+05,1.97E+06,1.48E+05,1.53E+04,1.59E+04,1.58E+03,0.00E+00,0.00E+00,4.24E+04,1.68E+04,6.51E+03,1.06E+04,0.00E+00,5.36E+03,3.13E+03,8.48E+03,1.67E+03,2.53E+03,4.87E+05,2.69E+04,2.42E+03,5.57E+04,5.20E+04,4.09E+04,1.49E+05,1.48E+04,2.57E+04,8.58E+04,,,,,
1172A,53X-7W,10-12 cm,498.1,44.8054,1.26E+07,2.75E+06,2.19E+06,8.22E+05,1.84E+07,1.36E+06,1.79E+05,1.90E+05,4.90E+03,2.36E+03,1.01E+04,4.52E+05,1.56E+05,8.20E+04,1.10E+05,1.00E+03,3.10E+04,3.25E+04,6.45E+04,6.91E+03,1.09E+04,5.02E+06,2.95E+05,1.66E+04,4.85E+05,2.88E+05,3.71E+05,1.14E+06,1.57E+05,3.69E+05,6.08E+05,1.92E+05,1.78E+04,,,
1172A,54X-2W,10-12 cm,500.2,44.8740,2.21E+06,4.43E+05,3.64E+05,1.07E+05,3.31E+06,2.06E+05,2.77E+04,2.91E+04,1.00E+03,0.00E+00,0.00E+00,7.88E+04,2.88E+04,1.25E+04,1.68E+04,0.00E+00,6.50E+03,8.10E+03,1.46E+04,3.13E+03,5.48E+03,9.23E+05,5.13E+04,3.83E+03,8.34E+04,8.40E+04,7.32E+04,2.41E+05,2.60E+04,5.68E+04,1.08E+05,2.93E+04,8.61E+03,,,
1172A,54X-3W,85-87 cm,502.45,44.9475,1.14E+06,2.55E+05,2.16E+05,6.96E+04,1.63E+06,1.15E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.11E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.12E+04,9.60E+04,,,,,
1172D,5R-2W,10-12 cm,508.5,45.1452,9.75E+06,2.16E+06,1.89E+06,5.17E+05,1.43E+07,1.23E+06,1.06E+05,1.16E+05,1.91E+04,6.31E+04,1.47E+04,2.63E+05,9.57E+04,5.19E+04,6.49E+04,1.00E+03,2.37E+04,4.21E+04,6.68E+04,1.15E+04,1.74E+04,2.74E+06,1.63E+05,1.64E+04,3.75E+05,2.57E+05,2.24E+05,8.56E+05,8.08E+04,2.22E+05,3.59E+05,1.17E+05,2.89E+04,,,
1172D,5R-4W,109-111 cm,512.6,45.2791,4.07E+07,1.04E+07,9.67E+06,2.49E+06,5.76E+07,6.64E+06,4.08E+05,4.29E+05,1.34E+04,3.57E+03,8.17E+03,1.18E+06,3.96E+05,2.15E+05,2.55E+05,4.65E+03,9.55E+04,8.05E+04,1.81E+05,1.62E+04,2.29E+04,1.26E+07,7.29E+05,4.84E+04,1.05E+06,6.95E+05,8.94E+05,2.64E+06,3.43E+05,8.37E+05,1.58E+06,4.70E+05,3.91E+04,,,
1172D,6R-1W,106.5-108.5 cm,517.665,45.4446,2.58E+07,6.60E+06,6.63E+06,1.52E+06,3.69E+07,4.21E+06,2.42E+05,2.65E+05,6.95E+03,1.00E+03,7.65E+03,6.14E+05,2.23E+05,1.31E+05,1.66E+05,0.00E+00,4.25E+04,5.02E+04,9.27E+04,2.97E+04,5.11E+04,6.64E+06,4.04E+05,2.44E+04,6.82E+05,5.63E+05,5.51E+05,1.80E+06,2.09E+05,5.07E+05,8.37E+05,2.97E+05,8.08E+04,,,
1172D,6R-2W,114-116 cm,519.24,45.4961,2.67E+06,5.96E+05,6.19E+05,1.39E+05,4.53E+06,4.31E+05,2.30E+04,2.44E+04,1.00E+03,0.00E+00,0.00E+00,6.13E+04,2.40E+04,1.48E+04,1.86E+04,0.00E+00,4.88E+03,6.06E+03,1.09E+04,4.04E+03,5.77E+03,6.84E+05,4.52E+04,3.03E+03,8.19E+04,6.94E+04,5.95E+04,2.11E+05,2.25E+04,4.74E+04,8.53E+04,3.34E+04,9.81E+03,,,
1172D,6R-3W,31-35 cm,519.91,45.5180,7.49E+05,1.81E+05,1.97E+05,9.54E+04,1.46E+06,1.40E+05,9.58E+03,1.06E+04,4.14E+02,0.00E+00,0.00E+00,2.20E+04,1.13E+04,5.30E+03,6.17E+03,0.00E+00,1.84E+03,1.96E+03,3.80E+03,1.56E+03,1.73E+03,2.69E+05,1.53E+04,2.56E+03,3.56E+04,3.19E+04,2.39E+04,9.14E+04,7.68E+03,8.64E+04,3.42E+05,9.43E+04,2.63E+04,,,
