Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),Dage,Open,Spinif,Cribro,Cleisto,Proxgap,Aliso,Glaph,Ennead,Wetzel,Palaeop,Spinvozz,Defl,Phthano,Seneg,Gonio,Protop,Thermo,Endemic,Terr,,,,
1172A,458.95,49,6,85,87,43.53,6.2,4.7,2.7,0.0,0.4,0.0,0.0,29.5,0.0,,1.2,56.2,0.0,0.4,0.8,0.0,0.8,70.9,3.4,,,,
1172A,470.61,51,1,81,83,43.91,2.9,0.4,4.1,0.0,1.2,0.0,0.0,20.8,0.8,,2.0,56.3,2.4,0.4,6.5,0.8,7.3,86.5,3.2,,,,
1172A,472.15,51,2,85,87,43.96,6.9,3.2,0.5,0.0,1.4,0.0,0.0,8.7,0.0,,12.4,58.7,1.4,7.3,0.5,0.5,0.5,78.0,0.0,,,,
1172A,473.65,51,3,85,87,44.01,2.3,0.9,0.5,0.0,1.9,0.0,0.0,18.1,0.0,,8.8,59.1,2.8,4.2,0.0,0.5,0.0,86.0,1.8,,,,
1172A,475.15,51,4,85,87,44.06,1.4,1.1,0.0,0.0,0.0,0.0,0.0,3.6,0.0,,7.9,82.7,1.1,1.8,0.4,0.0,0.4,92.8,3.1,,,,
1172A,480.25,52,1,85,87,44.22,5.9,5.0,2.7,0.0,0.9,0.0,0.0,24.0,0.0,,7.2,39.4,2.7,4.5,4.1,0.9,4.1,64.3,0.0,,,,
1172A,481.75,52,2,85,87,44.27,0.7,0.4,0.0,0.0,1.1,0.4,0.0,1.8,0.0,,8.3,75.9,5.4,4.3,0.4,0.0,0.4,86.3,0.4,,,,
1172A,483.25,52,3,85,87,44.32,2.3,2.3,1.2,0.0,0.4,0.0,0.0,4.6,0.0,,13.1,73.7,1.5,0.4,0.0,0.0,0.0,91.5,0.0,,,,
1172A,484.75,52,4,85,87,44.37,2.5,1.8,0.0,0.0,1.4,0.0,0.0,0.7,0.0,,11.9,77.5,1.8,1.8,0.4,0.0,0.4,91.2,0.0,,,,
1172A,486.25,52,5,85,87,44.42,2.4,1.6,0.8,0.0,2.4,0.0,0.0,0.0,0.0,,4.8,82.3,2.8,2.4,0.0,0.0,0.0,87.6,1.6,,,,
1172A,487.75,52,6,85,87,44.47,3.9,2.7,0.0,0.4,0.8,0.0,0.0,0.0,0.0,,12.7,77.6,2.7,0.0,0.4,0.4,0.4,90.7,0.8,,,,
1172A,489.85,53,1,85,87,44.54,3.1,2.3,0.4,0.0,0.4,0.0,0.0,3.5,0.0,,43.8,38.7,6.3,0.4,0.4,0.4,0.4,86.3,2.3,,,,
1172A,491.35,53,2,85,87,44.58,1.4,0.7,0.0,0.0,3.1,0.0,0.0,0.3,0.0,,9.7,79.9,3.1,0.3,0.3,0.0,0.3,90.7,0.7,,,,
1172A,492.85,53,3,85,87,44.63,1.1,0.7,0.0,0.0,0.4,0.0,0.0,0.4,0.0,,13.7,80.1,1.8,0.0,0.0,0.0,0.0,94.1,0.0,,,,
1172A,494.35,53,4,85,87,44.68,0.7,0.7,0.0,0.0,3.0,0.0,0.0,1.1,0.0,,43.9,46.1,1.5,0.0,0.4,0.4,0.0,91.1,0.0,,,,
1172A,495.85,53,5,85,87,44.73,1.6,1.2,0.0,0.0,2.0,1.2,0.0,1.2,0.0,,62.7,23.9,4.7,0.0,0.8,0.4,0.8,88.6,0.4,,,,
1172A,497.35,53,6,85,87,44.78,1.3,0.3,0.6,0.0,0.6,0.0,0.0,0.9,0.0,,57.9,23.1,12.0,0.3,0.3,0.0,0.3,82.9,0.0,,,,
1172A,498.70,54,1,10,12,44.83,1.6,0.6,0.3,0.0,0.6,0.6,0.0,12.3,0.0,,35.8,44.9,3.2,0.0,0.3,0.0,0.3,93.4,0.0,,,,
1172A,499.45,54,1,85,87,44.85,0.8,0.5,0.0,0.0,2.3,0.0,0.0,1.3,0.0,,67.9,25.5,0.8,0.0,0.5,0.0,0.5,95.2,0.5,,,,
1172A,500.95,54,2,85,87,44.90,0.9,0.6,0.3,0.0,0.9,0.3,0.0,64.7,0.0,,11.4,14.5,4.4,0.3,0.3,0.0,0.3,91.5,0.3,,,,
1172A,502.45,54,3,85,87,44.95,0.6,0.3,0.3,0.3,0.3,0.3,0.0,9.9,0.0,,31.3,28.6,25.9,0.3,0.3,0.0,0.3,70.5,0.3,,,,
1172A,503.95,54,4,85,87,45.00,4.7,3.4,0.4,0.4,1.7,0.0,0.0,4.7,0.0,,53.9,17.2,7.3,3.0,0.4,0.0,0.4,76.3,5.7,,,,
1172D,507.40,5,1,40,42,45.11,2.8,2.5,0.4,0.0,2.1,1.1,0.0,20.2,0.0,,10.3,35.8,1.8,14.9,0.7,1.8,0.7,67.7,0.7,,,,
1172D,508.88,5,2,38,40,45.16,10.5,10.0,0.0,0.0,6.7,0.4,0.0,9.6,0.0,,5.0,52.7,2.9,0.4,3.3,0.8,3.3,70.7,2.4,,,,
1172D,510.54,5,3,54,56,45.21,8.9,6.6,0.0,1.8,1.5,0.4,0.0,0.7,1.5,,36.9,42.8,1.1,3.3,1.5,0.0,3.0,81.5,0.0,,,,
1172D,511.60,5,4,10,12,45.25,2.0,2.0,0.0,0.0,0.6,0.3,0.0,43.9,0.0,,7.8,43.9,0.8,0.0,0.0,0.3,0.0,51.7,0.0,,,,
1172D,512.60,5,4,109,111,45.28,0.5,0.5,0.0,0.0,0.2,0.2,0.0,1.0,0.0,,4.7,90.9,1.0,0.0,0.0,0.2,0.0,95.3,0.0,,,,
1172D,516.70,6,1,10,12,45.41,3.9,3.1,0.0,0.0,1.6,0.4,0.0,26.3,0.0,,37.3,19.6,6.7,0.8,0.0,0.0,0.0,57.3,0.4,,,,
1172D,517.67,6,1,107,109,45.44,4.4,3.5,0.3,0.9,0.3,0.3,0.0,7.4,0.0,,15.3,57.6,4.7,0.9,0.3,0.0,0.3,74.4,0.3,,,,
1172D,518.48,6,2,38,40,45.47,3.9,3.5,0.4,0.0,5.2,0.9,0.0,6.1,0.0,,8.7,48.9,11.7,5.6,0.0,1.3,0.0,57.6,4.5,,,,
1172D,519.24,6,2,114,116,45.50,2.8,2.5,0.0,2.1,1.1,0.4,0.0,0.7,0.0,,16.3,58.2,6.7,6.0,0.0,0.4,0.0,74.5,0.0,,,,
1172D,519.96,6,3,31,33,45.52,1.4,1.4,0.3,0.0,0.7,1.4,0.0,1.4,0.0,,7.5,81.6,3.1,1.0,0.3,0.0,0.3,90.1,0.0,,,,
1172D,521.48,6,4,38,40,45.57,2.9,1.8,0.3,0.0,0.5,0.0,0.0,5.2,0.0,,2.9,79.4,2.3,3.4,0.0,0.5,0.0,82.2,1.3,,,,
1172D,522.55,6,4,135,137,45.60,2.1,2.1,1.3,0.0,0.0,0.2,0.0,1.1,0.0,,3.8,83.4,5.7,0.2,0.0,0.0,0.0,87.7,0.4,,,,
1172D,526.30,7,1,10,12,45.73,1.5,1.2,1.5,0.4,0.0,0.4,0.0,1.9,0.0,,0.4,84.9,3.1,0.0,0.0,0.0,0.0,85.7,0.4,,,,
1172D,526.65,7,1,35,37,45.76,3.6,3.0,0.0,0.0,0.3,0.3,0.0,3.0,0.0,,5.2,64.7,17.0,2.1,0.3,0.0,0.3,70.2,0.0,,,,
1172D,527.40,7,1,106,108,45.85,5.2,5.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,,2.1,77.6,11.8,0.9,0.0,0.0,0.0,80.0,0.0,,,,
1172D,528.46,7,2,60,62,45.98,11.6,11.3,0.0,0.0,1.5,1.8,0.4,0.4,0.0,,3.6,66.5,10.5,0.7,0.0,0.0,0.0,72.0,0.0,,,,
1172D,529.30,7,3,10,12,46.08,9.0,4.7,0.0,0.0,2.3,0.7,0.0,0.0,0.0,,2.3,64.5,12.7,1.7,0.3,0.0,0.3,68.2,2.3,,,,
1172D,529.60,7,3,40,42,46.11,6.3,5.1,1.2,0.0,5.5,2.0,0.0,0.0,0.0,,2.0,58.1,10.7,0.0,0.0,0.8,0.0,62.1,0.8,,,,
1172D,530.26,7,3,106,108,46.19,20.6,19.9,1.1,0.0,3.0,2.6,0.0,0.0,0.0,,3.7,39.0,19.1,3.4,0.0,0.0,0.0,44.9,0.7,,,,
1172D,531.31,7,4,61,63,46.31,9.4,7.5,0.4,7.5,2.6,2.6,0.0,0.0,0.0,,2.6,39.6,25.3,1.5,0.4,0.0,0.4,45.7,0.7,,,,
1172D,532.60,7,5,40,42,46.47,3.4,2.3,1.9,0.0,0.8,2.6,0.0,0.0,0.0,,7.9,70.9,4.9,0.4,0.0,0.4,0.0,81.9,1.5,,,,
1172D,535.05,7,6,135,137,46.76,2.6,2.2,0.4,0.4,2.2,0.4,0.4,0.4,0.0,,17.7,14.7,54.5,2.2,0.0,0.4,0.0,33.8,0.9,,,,
1172D,536.11,8,1,31,33,46.89,3.0,2.4,0.3,0.0,1.0,4.7,0.0,0.0,0.0,,7.1,53.7,26.4,0.7,0.0,0.0,0.0,65.2,1.0,,,,
1172D,537.40,8,2,10,12,47.04,10.2,8.6,1.6,0.8,4.3,4.7,0.0,0.0,0.0,,22.0,20.8,16.5,0.8,0.0,0.8,0.0,47.8,0.8,,,,
1172D,538.90,8,3,10,12,47.22,1.8,1.3,1.3,1.3,2.2,2.7,0.0,0.0,0.0,,12.6,28.7,34.5,1.8,0.0,0.0,0.0,44.4,0.0,,,,
1172D,539.95,8,3,115,117,47.34,4.5,3.6,0.6,0.6,0.0,0.3,0.0,0.3,0.0,,18.8,31.0,31.0,2.4,0.0,0.0,0.0,51.0,0.6,,,,
1172D,540.70,8,4,40,42,47.40,4.9,4.5,1.6,4.1,0.0,1.6,0.0,0.0,0.0,,22.1,54.1,5.7,1.2,0.0,0.4,0.0,77.9,0.8,,,,
1172D,541.90,8,5,10,12,47.49,5.1,3.8,1.7,0.4,4.6,1.3,0.0,,0.0,,36.3,23.2,15.2,5.1,0.0,0.0,0.0,59.9,0.8,,,,
1172D,542.84,8,5,104,106,47.57,6.8,6.2,0.6,8.5,0.8,1.4,0.0,,0.0,,22.0,26.8,24.8,2.3,0.3,0.3,0.3,50.1,0.8,,,,
1172D,543.70,8,6,40,42,47.63,7.7,6.9,0.0,7.3,2.0,1.6,0.0,,0.0,,27.1,25.1,20.2,4.5,0.4,1.2,0.4,52.6,0.8,,,,
1172D,545.50,9,1,10,12,47.77,7.5,5.2,0.7,11.6,1.1,1.5,0.7,,0.0,,26.1,30.6,10.8,1.1,0.0,2.2,0.0,58.2,0.0,,,,
1172D,546.45,9,1,105,107,47.84,3.6,3.0,0.0,4.2,0.3,4.2,0.0,,0.0,,30.0,33.6,16.7,3.3,0.3,0.3,0.3,67.9,1.5,,,,
1172D,547.30,9,2,40,42,47.91,3.8,3.1,0.4,3.8,0.4,0.8,0.0,,0.0,,53.1,25.4,5.0,4.6,0.0,0.4,0.0,79.2,1.9,,,,
1172D,548.00,9,2,110,112,47.96,4.2,3.3,0.0,2.1,0.8,5.9,0.0,,0.0,,26.8,34.3,14.6,2.9,2.9,0.0,2.9,66.5,2.0,,,,
1172D,548.50,9,3,10,12,48.00,13.8,10.7,7.7,0.0,3.8,2.7,0.0,,0.0,,6.5,22.6,27.2,2.7,8.4,0.0,8.4,30.3,1.1,,,,
1172D,549.52,9,3,112,114,48.07,4.3,3.5,0.0,4.7,0.8,0.8,0.0,,0.0,,14.5,54.1,13.7,0.4,0.8,0.0,0.8,69.0,0.0,,,,
1172D,550.00,9,4,10,12,48.11,5.9,4.9,0.3,4.9,0.7,1.4,0.0,,0.0,,30.4,37.8,12.9,1.4,0.0,1.0,0.0,68.2,0.3,,,,
1172D,551.50,9,5,10,12,48.23,6.6,3.9,0.0,1.3,1.8,0.9,0.0,,0.0,,36.4,7.9,30.7,3.5,0.4,0.9,0.4,45.2,3.4,,,,
1172D,553.00,9,6,10,12,48.34,10.7,8.3,1.7,0.8,5.0,0.8,0.0,,0.0,,31.0,18.2,20.7,2.9,0.4,0.8,0.4,49.6,2.0,,,,
1172D,553.50,9,6,60,62,48.38,5.0,4.6,0.0,1.7,1.3,0.8,0.0,,0.0,,25.8,36.3,24.2,0.8,0.0,0.0,0.0,63.3,0.0,,,,
1172D,554.80,9,7,40,42,48.48,9.0,8.3,2.3,5.3,3.4,9.4,0.0,,0.4,,17.3,42.5,4.1,0.4,0.4,0.0,0.8,60.9,1.1,,,,
1172D,555.50,10,1,40,42,48.53,14.1,10.8,5.4,7.5,4.1,1.7,0.0,,0.4,,21.6,23.2,14.5,0.8,2.1,0.0,2.5,44.8,0.0,,,,
1172D,556.23,10,1,113,115,48.58,11.0,10.0,2.1,22.3,2.4,0.7,0.0,,0.0,,3.8,34.7,15.5,0.0,4.1,0.3,4.1,38.5,0.7,,,,
1172D,556.70,10,2,10,12,48.60,12.2,9.8,1.2,23.2,3.3,1.6,0.0,,0.0,,13.0,6.5,19.1,6.5,6.9,1.6,6.9,21.1,1.6,,,,
1172D,558.50,10,3,40,42,48.70,9.8,7.1,1.1,3.4,5.6,0.8,0.0,,0.0,,5.3,44.0,18.4,2.3,3.0,0.4,3.0,50.0,2.2,,,,
1172D,559.20,10,3,110,112,48.74,5.8,5.1,3.2,6.4,3.5,0.0,0.0,,0.0,,6.7,38.0,32.6,1.0,0.3,0.0,0.3,44.7,3.1,,,,
1172D,559.70,10,4,10,12,48.77,12.9,9.1,1.9,10.2,3.8,0.8,0.0,,0.0,,9.1,22.0,18.9,12.9,0.4,0.8,0.4,31.1,2.6,,,,
1172D,560.74,10,4,114,116,48.83,2.4,1.6,0.8,31.3,1.6,0.0,0.0,,0.4,,5.2,47.0,6.8,2.0,0.0,0.0,0.4,52.2,0.8,,,,
1172D,561.20,10,5,10,12,48.85,11.2,6.8,8.0,12.7,14.7,2.0,0.0,,0.0,,7.2,23.1,8.8,6.0,0.0,0.8,0.0,30.3,1.2,,,,
1172D,561.95,10,5,85,87,48.89,10.5,8.3,4.9,16.5,2.3,1.5,0.0,,0.8,,5.6,45.1,6.8,1.5,0.0,0.4,0.8,50.4,0.0,,,,
1172D,562.70,10,6,10,12,48.94,9.2,5.6,3.2,7.2,4.8,0.0,0.0,,1.2,,5.2,37.1,10.8,18.3,0.0,0.0,1.2,42.2,1.2,,,,
1172D,564.20,10,7,10,12,49.02,4.0,0.4,1.8,11.6,6.7,1.3,0.0,,0.0,,2.2,45.1,3.6,13.8,3.1,0.4,3.1,47.3,3.9,,,,
1172D,564.80,11,1,10,12,49.05,3.6,1.8,0.0,5.8,1.1,0.7,0.0,,0.0,,2.2,79.7,2.5,1.4,1.1,0.0,1.1,81.9,1.1,,,,
1172D,565.83,11,1,113,115,49.11,5.3,2.5,0.3,10.0,3.4,0.6,0.0,,1.9,,3.4,58.3,8.1,1.6,3.1,0.3,5.0,61.7,0.0,,,,
1172D,566.30,11,2,10,12,49.14,14.0,5.4,4.1,3.2,10.9,0.5,0.0,,5.4,,10.4,15.8,6.8,8.6,13.1,0.5,18.6,26.7,2.2,,,,
1172D,567.80,11,3,10,12,49.22,5.5,3.6,0.0,20.9,1.4,0.0,0.0,,0.5,,0.9,65.5,3.2,0.9,0.0,0.0,0.5,66.4,0.0,,,,
1172D,568.00,11,3,30,32,49.23,1.9,1.4,0.2,2.3,0.0,0.0,0.0,,0.2,,1.2,91.6,1.0,0.0,0.6,0.0,0.8,92.8,0.0,,,,
1172D,568.83,11,3,113,115,49.28,10.7,6.9,2.1,2.6,1.7,1.3,0.0,,2.6,,6.4,54.5,9.9,6.9,2.6,0.0,5.2,60.9,0.4,,,,
1172D,569.05,11,3,135,137,49.29,18.2,11.4,1.4,6.8,4.1,1.4,0.0,,2.7,,5.9,25.5,15.9,5.0,5.5,0.0,8.2,31.8,2.7,,,,
1172D,569.30,11,4,10,12,49.30,31.9,29.1,12.2,0.9,6.6,0.9,0.0,,0.9,,8.5,22.5,2.3,6.6,0.0,0.0,0.9,31.0,3.2,,,,
1172D,571.10,11,5,40,42,49.47,20.6,8.7,6.4,0.5,15.1,6.4,0.5,,5.0,,4.6,22.5,14.7,6.9,0.5,0.5,5.0,27.1,4.4,,,,
1172D,572.60,11,6,40,42,49.64,23.1,20.8,22.6,0.0,14.2,2.4,0.9,,0.5,,7.5,7.5,5.2,10.4,0.5,1.4,0.5,15.6,14.9,,,,
1172D,572.69,11,6,105,107,49.65,14.6,14.6,0.0,0.0,1.9,5.3,0.0,,0.0,,3.4,58.3,7.8,2.4,1.5,0.0,1.5,66.5,3.7,,,,
1172D,574.04,12,1,10,12,49.81,28.5,15.0,3.7,0.4,9.7,7.1,1.1,,0.4,,10.5,12.4,1.1,2.2,14.6,1.5,15.0,25.8,7.0,,,,
1172D,574.34,12,1,40,42,49.85,8.3,7.9,14.0,0.0,0.4,1.3,0.0,,0.0,,5.3,66.7,0.4,1.3,1.3,0.0,1.3,72.4,0.0,,,,
1172D,575.54,12,2,10,12,49.98,20.2,12.0,4.0,0.0,11.3,5.5,2.8,,0.9,,14.7,14.4,1.2,4.0,11.7,1.2,12.6,32.2,6.6,,,,
1172D,575.84,12,2,40,42,50.02,23.1,21.7,1.9,0.0,7.1,4.7,0.0,,0.0,,13.7,29.2,8.0,1.4,2.4,0.9,2.4,46.7,4.5,,,,
1172D,577.06,12,3,10,12,50.16,10.3,6.0,0.7,0.0,21.9,2.3,0.3,,0.0,,9.3,4.0,0.0,6.3,38.4,1.0,38.4,12.9,12.0,,,,
1172D,577.36,12,3,40,42,50.20,18.4,17.0,13.2,0.0,2.8,1.4,0.9,,0.0,,0.0,18.4,2.4,4.2,26.9,1.9,26.9,30.7,3.6,,,,
1172D,578.54,12,4,10,12,50.33,13.3,6.8,1.2,0.0,15.0,1.9,0.5,,0.2,,30.7,4.6,0.5,19.1,4.1,8.0,4.3,34.3,7.8,,,,
1172D,578.84,12,4,40,42,50.37,24.1,22.7,2.5,0.0,7.4,2.0,0.0,,0.0,,3.0,15.3,4.4,5.4,25.1,0.0,25.1,19.7,2.9,,,,
1172D,580.04,12,5,10,12,50.51,19.9,7.7,2.3,0.0,19.0,2.6,0.6,,1.0,,26.7,6.1,1.0,14.8,4.5,4.5,5.5,32.8,5.5,,,,
1172D,580.34,12,5,40,42,50.54,18.2,15.4,2.5,0.0,11.4,3.2,0.0,,0.4,,3.2,23.2,7.1,5.0,19.6,0.0,20.0,27.1,4.1,,,,
1172D,581.54,12,6,10,12,50.78,14.6,6.8,5.4,1.5,17.1,3.4,1.5,,0.0,,20.5,2.9,1.0,23.4,6.8,2.4,6.8,23.4,3.8,,,,
1172D,581.84,12,6,40,42,50.87,18.5,17.6,1.3,3.1,8.4,2.2,1.8,,0.0,,4.0,22.5,3.1,13.7,18.5,0.0,18.5,26.9,6.2,,,,
1172D,583.06,12,7,10,12,51.24,7.3,3.0,2.3,0.0,14.0,3.0,1.3,,0.7,,23.6,2.3,0.0,19.3,23.9,12.0,24.6,25.9,4.1,,,,
1172D,583.36,12,7,40,42,51.33,10.8,3.9,0.4,2.6,6.9,2.6,0.0,,6.1,,1.7,28.6,3.5,5.6,33.3,0.0,39.4,31.6,2.5,,,,
1172D,583.61,12,7,65,67,51.41,7.1,4.7,0.0,0.5,4.7,1.4,9.0,,0.5,,0.5,14.2,1.4,50.5,6.6,0.0,7.1,15.6,2.8,,,,
1172D,585.85,13,1,10,12,52.74,13.7,8.0,6.4,0.4,11.2,4.0,1.2,,0.8,,14.1,6.0,2.4,30.9,4.8,15.7,5.6,22.9,3.5,,,,
1172D,586.15,13,1,40,42,52.79,23.2,12.9,4.9,1.3,11.6,8.0,3.1,,4.5,,0.0,4.0,1.3,27.2,12.5,1.3,17.0,10.3,1.8,,,,
1172D,586.35,13,1,60,62,52.82,23.9,11.3,0.8,0.8,10.1,1.7,2.5,,5.0,,1.7,1.3,0.0,40.8,14.3,2.1,18.9,4.6,13.8,,,,
1172D,586.65,13,1,90,92,52.86,15.9,11.5,2.7,0.4,10.6,0.4,5.3,,0.4,,4.4,5.3,0.0,42.9,6.2,4.9,6.6,10.2,9.2,,,,
1172D,586.85,13,1,110,112,52.89,13.0,9.0,5.8,0.9,19.7,0.4,4.5,,0.4,,1.8,3.1,2.7,38.6,4.0,5.4,4.5,4.5,16.5,,,,
1172D,587.15,13,1,140,142,52.94,14.9,5.4,2.5,0.0,17.8,0.0,3.3,,0.8,,3.7,2.1,0.8,36.9,10.8,8.3,11.6,5.8,12.4,,,,
1172D,587.35,13,2,10,12,52.97,11.2,5.6,2.6,0.3,17.6,2.4,1.2,,0.9,,16.8,2.9,0.3,32.6,9.7,12.4,10.6,21.8,5.0,,,,
1172D,587.65,13,2,40,42,53.01,21.8,3.8,5.5,5.0,1.3,7.1,18.1,,13.4,,1.3,5.0,0.0,12.6,18.9,2.1,32.4,12.6,2.1,,,,
1172D,587.85,13,2,60,62,53.04,5.1,2.8,1.4,0.0,10.1,0.9,3.2,,0.5,,2.3,5.5,0.5,54.8,3.7,9.7,4.1,8.8,7.7,,,,
1172D,588.15,13,2,90,92,53.08,13.3,3.7,1.1,7.8,7.4,0.0,7.4,,1.1,,4.4,6.7,1.9,30.4,14.1,7.4,15.2,9.3,9.7,,,,
1172D,588.35,13,2,110,112,53.11,17.6,7.9,2.8,7.9,6.9,0.9,0.5,,0.5,,3.2,2.3,0.0,35.6,14.4,4.6,14.8,6.0,12.6,,,,
1172D,588.65,13,2,140,142,53.16,15.4,7.2,2.3,1.4,9.5,0.5,1.4,,0.9,,10.9,0.9,0.5,48.0,0.0,5.4,0.9,11.8,12.3,,,,
1172D,588.85,13,3,10,12,53.19,14.9,0.3,1.6,2.6,45.8,0.3,0.3,,11.4,,1.9,3.9,11.4,11.7,0.0,7.1,11.4,6.2,3.8,,,,
1172D,589.15,13,3,40,42,53.23,13.7,9.0,3.3,0.0,7.6,1.9,4.7,,0.9,,15.6,3.3,0.0,23.7,0.5,3.3,1.4,19.0,5.4,,,,
1172D,589.35,13,3,60,62,53.26,11.2,9.6,0.0,0.0,9.2,0.0,3.2,,0.8,,21.9,2.0,0.0,48.6,0.0,1.6,0.8,23.9,3.5,,,,
1172D,589.65,13,3,90,92,53.31,5.0,1.1,1.1,54.1,10.7,0.0,5.3,,3.9,,7.1,3.9,0.0,10.0,0.0,0.7,3.9,10.7,1.4,,,,
1172D,589.80,13,3,105,107,53.33,12.5,1.7,1.0,50.5,11.5,0.0,0.0,,10.1,,7.3,3.1,0.0,12.5,0.0,1.0,10.1,10.1,1.7,,,,
1172D,590.10,13,3,135,137,53.37,13.2,0.6,7.7,13.8,12.6,0.6,3.1,,11.4,,14.5,6.8,0.0,20.3,0.0,0.9,11.4,20.6,4.1,,,,
1172D,590.35,13,4,10,12,53.41,15.7,8.2,1.5,0.0,28.5,0.4,1.1,,3.0,,16.1,2.6,0.7,25.5,0.4,19.9,3.4,18.7,8.6,,,,
1172D,590.65,13,4,40,42,53.45,8.4,2.3,1.4,0.0,14.0,0.5,0.9,,3.7,,20.5,6.0,0.0,37.2,0.5,2.8,3.7,25.1,4.4,,,,
1172D,591.85,13,5,10,12,53.63,24.3,3.9,2.7,0.6,32.4,1.5,2.1,,7.2,,2.7,10.2,3.9,16.8,0.0,8.1,7.2,12.9,7.0,,,,
1172D,592.15,13,5,40,42,53.68,10.5,6.6,5.2,2.2,21.0,0.0,1.7,,2.6,,3.5,45.0,1.7,3.1,2.2,0.0,4.8,48.5,6.1,,,,
1172D,593.35,13,6,10,12,53.85,15.4,4.5,3.6,0.0,21.5,0.0,0.8,,5.3,,5.7,9.3,13.4,19.4,0.4,11.3,5.7,15.0,3.9,,,,
1172D,593.65,13,6,40,42,53.90,31.7,13.8,2.2,0.9,7.6,0.0,0.0,,11.6,,6.3,18.8,4.0,8.9,3.1,1.8,13.8,25.0,5.5,,,,
1172D,594.25,13,6,100,102,53.99,11.2,3.4,2.9,0.5,31.6,0.5,1.0,,3.4,,17.5,4.4,2.4,21.8,0.0,5.3,3.4,21.4,14.9,,,,
1172D,594.35,13,6,110,112,54.00,22.4,8.2,1.2,0.0,40.0,0.0,1.6,,4.3,,5.9,8.6,0.8,15.3,0.0,6.7,4.3,14.5,11.8,,,,
1172D,594.47,13,6,120,122,54.01,27.1,7.9,0.5,0.5,35.5,0.0,2.0,,8.4,,5.4,2.5,1.5,22.2,0.0,4.4,8.4,7.9,14.3,,,,
1172D,594.77,13,6,150,152,54.04,20.7,5.3,3.8,0.5,44.2,0.0,1.9,,4.8,,7.7,1.9,1.4,14.4,0.0,3.8,4.8,9.6,8.8,,,,
1172D,594.87,13,7,10,12,54.05,21.2,6.9,5.8,0.8,23.6,0.0,1.9,,6.2,,12.4,9.7,1.5,17.0,0.0,3.5,6.2,22.0,8.2,,,,
1172D,594.92,13,7,15,17,54.06,19.3,6.4,4.4,0.3,22.0,0.0,1.7,,5.4,,21.7,7.5,0.7,19.0,0.0,3.1,5.4,29.2,7.8,,,,
1172D,595.12,13,7,35,37,54.08,21.2,6.8,3.8,0.0,14.0,0.0,0.7,,6.2,,21.9,9.2,0.7,24.0,0.0,7.9,6.2,30.5,14.6,,,,
1172D,595.17,13,7,40,42,54.09,25.1,12.3,2.1,0.4,9.5,0.0,0.0,,6.6,,9.5,32.1,3.3,9.1,1.6,0.8,7.4,41.6,3.2,,,,
