,,ungrouped dinocyst assemblages,,,,eco-grouped dinocyst assemblages,,,
595.12,54.0825,26,6.898836415,2.694611672,0.911474949,12,1.994750778,0.798742728,16.43420175
595.17,54.0881,22,5.871684798,2.385094731,0.85440905,14,1.995912819,0.815103046,15.4693145
595.22,54.0937,18,4.72899496,2.297437044,0.849805843,10,1.752865257,0.758690828,15.98247614
595.37,54.1104,27,7.242621348,2.545139902,0.880281365,12,1.854665353,0.773218092,17.55982518
595.42,54.116,23,6.56009383,2.00598419,0.768244926,12,1.676450062,0.730576582,17.21660123
596.44,54.2296,28,7.2913438,2.352374794,0.844788794,14,1.945037579,0.80848112,11.66789244
596.49,54.2352,25,6.895494026,2.380702206,0.859221467,12,1.807895096,0.753968254,11.79304428
596.64,54.2519,25,6.75255317,2.622859617,0.89727728,12,2.164155176,0.850613376,12.08800961
596.69,54.2575,22,5.797484405,2.147429545,0.820704208,12,1.632982677,0.709404132,11.61470605
596.91,54.282,24,6.485348744,2.469926452,0.877624512,12,2.036192507,0.826721191,11.73196853
596.96,54.2876,23,6.332258008,2.257467377,0.817255796,14,1.807570275,0.725082429,11.64749018
597.11,54.3043,25,7.208670507,2.444220497,0.86328125,13,1.987040067,0.806491182,11.75283237
597.16,54.3099,18,4.519593457,2.167754588,0.81975143,13,1.945514125,0.791681378,11.86806529
597.31,54.3266,23,6.122047911,2.298496122,0.844940186,13,1.965276899,0.801116943,12.15130362
597.36,54.3322,19,5.04464168,2.013028289,0.788247482,13,1.688903199,0.718420067,12.25669491
597.51,54.3489,17,4.438768997,1.872658689,0.71935,11,1.660689308,0.7027,12.37943057
597.56,54.3545,21,5.302263863,2.073724954,0.804975245,13,1.701805651,0.742446317,12.20765444
597.71,54.3712,22,5.378762566,2.223994862,0.839749239,13,1.866993218,0.77593735,12.18434805
597.76,54.3767,23,5.692055927,2.103537944,0.81857917,13,1.665261356,0.699299869,12.2676373
597.86,54.3879,25,6.999692803,2.247275452,0.827060992,13,1.823692056,0.770820062,13.18896489
597.94,54.3968,23,5.340115235,2.305466836,0.830868454,14,1.872506595,0.778658777,13.71025157
597.99,54.4024,18,4.618134933,2.094853782,0.804802028,12,1.77688755,0.747531621,13.35862015
598.14,54.4191,24,6.009686462,2.110962223,0.771054688,13,1.766936508,0.738613281,13.38904657
598.19,54.4247,25,6.925951123,1.934530499,0.724407673,13,1.587249526,0.691954995,13.51074185
598.41,54.4492,18,4.459666854,1.858546962,0.725416233,12,1.647311129,0.700945762,13.57466372
598.46,54.4548,19,4.735503617,1.875633264,0.736544081,11,1.612610578,0.705144175,14.44011792
598.61,54.4715,23,6.080763115,2.119461394,0.791327198,13,1.864474354,0.766118573,13.16788084
598.66,54.477,21,5.530339988,1.999641615,0.792169557,12,1.626661744,0.73,12.84117726
598.81,54.4938,20,4.885874653,1.970711153,0.773871527,12,1.63235262,0.724167441,13.54552542
598.86,54.4993,19,4.711936789,1.494456238,0.660002057,11,1.375993195,0.647817854,13.91280432
599.01,54.5161,22,5.613918577,1.752576026,0.694209491,12,1.555007471,0.675993388,13.89501181
599.06,54.5216,18,4.736887767,1.655469421,0.69173143,10,1.387466838,0.653784523,14.16808528
599.21,54.5383,21,5.277007564,1.588475422,0.646769801,12,1.443078887,0.634530561,14.43642488
599.26,54.5439,15,3.451042474,1.505419369,0.651100926,11,1.424500845,0.642137374,14.6197914
599.44,54.564,21,5.893669873,2.039236185,0.791932163,12,1.522516877,0.695078914,14.85633893
599.74,54.5974,19,5.186935087,1.942230168,0.7869824,10,1.660076164,0.754997918,15.56189666
600.96,54.7334,23,5.669301718,2.02492862,0.799814821,12,1.561546389,0.70754717,15.8410255
601.26,54.7668,19,4.898562065,2.306279837,0.866750892,11,1.912566952,0.819621928,16.22086499
602.6,54.9161,22,5.789529959,1.888992975,0.698682998,12,1.550911951,0.672280461,17.1026655
602.9,54.9496,20,5.453922159,2.284359982,0.844720784,10,1.825737652,0.797011971,17.76363448
603.7,55.0387,14,2.880246512,1.54405206,0.690476715,9,1.426920774,0.680752932,17.87829626
604.14,55.0878,23,6.245719114,1.919404496,0.719998632,10,1.518618283,0.683013455,23.93473366
604.44,55.1212,20,4.770306806,1.608976132,0.666287568,10,1.35088641,0.643772059,23.79616167
604.89,55.1714,18,4.15526297,1.701867265,0.729783036,13,1.622926038,0.72466716,23.9043118
605.6,55.2505,26,6.425780058,2.220103493,0.844407271,11,1.488804736,0.686307524,24.01458893
605.9,55.2839,16,3.68317158,1.891497828,0.807933674,10,1.463055561,0.692219388,23.94316983
607.1,55.4177,23,6.736644793,1.974461123,0.743087439,12,1.621656793,0.709577675,24.17492122
607.4,55.4511,18,4.425664173,2.007040889,0.817936636,10,1.688013321,0.772047681,25.13983056
608.6,55.5848,21,5.137707451,1.963710738,0.756901137,11,1.508752116,0.691947534,25.24428105
608.9,55.6183,16,3.810616262,1.946041851,0.817376,10,1.646497184,0.77024,24.83137494
609.3,55.6628,20,4.702405099,2.123077225,0.829632279,11,1.576547415,0.685443787,26.35195497
610.01,55.742,15,3.368294529,1.591461977,0.702063668,10,1.281593603,0.628074722,23.5514851
610.21,55.7642,19,4.538648507,1.722018935,0.746656488,10,1.332329856,0.653382436,22.63727359
610.405,55.786,19,4.383495994,1.570131076,0.66587695,12,1.211022435,0.598294546,22.10074667
610.61,55.8088,18,4.073554199,1.659812247,0.693535086,12,1.045136965,0.435676441,21.30409092
610.71,55.82,17,3.721118091,1.646272475,0.710017852,12,1.031261127,0.437945895,21.34343769
610.82,55.8334,21,4.592424954,2.058206743,0.802572314,13,1.489667779,0.65823595,21.0598391
610.9,55.847,22,5.219948061,1.817907849,0.698507067,11,1.113350318,0.498451112,20.01346794
611,55.864,24,5.332571771,1.916288219,0.736345706,13,1.150453897,0.480921114,20.56798868
611.115,55.8836,18,3.85032946,1.8376156,0.724421782,11,1.205378164,0.504002248,19.79698635
611.195,55.8972,20,4.84395382,1.876439868,0.767622352,11,1.184626436,0.526077098,19.25252608
611.315,55.9176,21,5.395968329,2.286236461,0.83597442,12,1.630876743,0.660395641,19.35548683
611.355,55.9244,23,5.935860304,2.396318068,0.87744898,13,1.710600785,0.742908163,19.10529468
611.47,55.9439,31,9.078047623,2.626109613,0.901653831,14,2.045208052,0.828402699,19.04055556
611.515,55.9516,25,6.770766661,2.568926486,0.901986472,13,1.881407108,0.79259523,18.50566509
611.56,55.9592,25,6.615183633,2.547545772,0.896577558,13,1.919080744,0.797972939,17.46951481
611.64,55.9728,23,5.769531229,2.569706996,0.898618651,14,1.963277684,0.812577264,17.25957427
611.7,55.983,30,8.8872211,2.636195946,0.891890605,16,2.203794712,0.852049967,17.11509729
611.74,55.9898,23,5.935860304,2.541500388,0.895637755,14,2.072460952,0.826862245,16.17904265
611.775,55.9958,27,7.874081344,2.717490961,0.914259846,15,2.287009337,0.87088173,16.04471406
611.795,55.9992,28,8.188304448,2.801555304,0.919233659,15,2.312641029,0.875902778,15.91673597
611.815,56.0027,28,7.952053985,2.74108388,0.912259068,15,2.334896372,0.879408284,15.58207431
611.835,56.0062,29,8.275001745,2.525215946,0.891273548,15,1.994890779,0.811973543,15.54948329
611.86,56.0106,26,7.459597486,2.64035054,0.906707842,16,2.205709689,0.85840994,15.53017238
611.885,56.0151,26,7.084417313,2.417491852,0.864149454,13,1.818939008,0.761344307,15.52012772
611.905,56.0186,27,7.747437722,2.733515903,0.90305706,16,2.144529298,0.810669175,15.20907797
611.925,56.0222,23,6.147515764,2.24669026,0.832132982,14,1.690861613,0.706119452,15.2658426
611.945,56.0257,23,6.502167632,2.378530564,0.862112171,14,1.818907259,0.760304954,15.27274797
611.965,56.0293,25,7.123851274,2.541685164,0.885740522,12,1.904900145,0.79203913,15.25165475
611.985,56.0328,22,6.006929909,2.440076084,0.873345645,12,1.831304122,0.770198523,15.16514606
612.005,56.0364,30,9.145120128,2.656887217,0.899663963,15,2.04406772,0.807254,15.1339494
612.025,56.0399,31,8.757874645,2.51250869,0.864331558,14,1.746229021,0.710059172,15.3039441
612.055,56.0452,25,7.25943173,2.555456881,0.883884298,13,1.891386675,0.773670274,15.77215586
612.095,56.0523,26,7.010766239,2.609932303,0.897881578,13,2.013385943,0.817814813,16.31618687
612.195,56.0701,27,7.468982932,2.476239188,0.870754459,13,1.832759374,0.752016461,16.96271481
612.295,56.0878,24,6.216915601,2.289262038,0.850827936,13,1.561985611,0.687041262,16.25716674
612.355,56.0985,22,5.627523283,2.103928442,0.827371902,12,1.468602699,0.675808264,16.55884499
612.405,56.1073,25,7.25943173,2.109760335,0.815371903,13,1.396513896,0.646433471,16.86152676
612.45,56.1153,19,4.46598018,1.863563078,0.764474505,12,1.22150651,0.585098855,18.41208701
612.495,56.1233,18,4.65359689,1.869447111,0.770810538,13,1.199619636,0.536179698,18.40961436
612.55,56.1331,19,4.823227293,2.129233396,0.821284018,11,1.38594118,0.632797045,19.22454788
612.605,56.1428,22,5.829870699,2.26941674,0.854383454,13,1.597087262,0.703439935,13.56550914
612.645,56.1499,17,4.351969994,2.100391618,0.832502669,12,1.415195237,0.649206749,13.84539531
612.705,56.1606,24,6.691028629,2.109334263,0.772657309,14,1.38027376,0.543200931,14.09947771
612.75,56.1685,23,6.302747954,2.22209273,0.816755242,12,1.52419401,0.642398124,14.38501038
612.805,56.1783,24,6.331806709,2.5070876,0.886115403,14,1.93150774,0.781273621,15.30897722
612.85,56.1863,24,6.778472738,2.537554019,0.878806109,14,2.045211038,0.805313279,15.57208583
612.9,56.1952,20,5.279185227,2.243904483,0.848376424,11,1.638403545,0.714646733,21.79830061
612.985,56.2102,22,6.127281475,2.360254697,0.863597395,12,1.695512519,0.716039586,20.41845244
613.105,56.2315,18,4.331388978,1.63762745,0.69861051,12,0.939112049,0.376551782,19.61600055
613.205,56.2493,23,6.191184272,1.745455603,0.636641518,12,1.463267122,0.600006719,19.73937078
613.305,56.267,18,4.513406615,1.632386052,0.689378687,9,0.932096048,0.381705211,20.26981575
613.505,56.3025,17,4.242705685,1.480647326,0.603535401,11,0.981260245,0.399496577,21.09979327
613.705,56.338,16,3.787643737,1.222970859,0.50026913,11,0.791903324,0.304313725,21.96508495
613.905,56.3735,13,3.04752251,1.33610016,0.581579178,9,0.833067343,0.34505197,22.31461824
614.105,56.409,17,4.21319392,1.91453839,0.781759077,9,1.234268333,0.558115339,22.68125701
614.305,56.4444,17,3.959320009,1.436436849,0.650716413,8,0.652083176,0.267405355,23.90281625
614.495,56.4781,20,4.924216444,1.793857751,0.741100037,11,1.059261696,0.454781474,22.31248941
614.605,56.4977,20,4.631493508,1.49559588,0.660966096,12,0.777956767,0.312182849,23.52919813
614.805,56.5331,13,2.946340421,1.193733694,0.599409724,8,0.472433212,0.186875,23.55941011
614.995,56.5669,12,2.434803524,0.594077751,0.239664384,9,0.559877284,0.234339704,24.13223613
615.47,56.6511,25,7.496047298,2.246014732,0.815792666,13,1.81765207,0.775145773,18.91035173
615.57,56.6689,16,3.916247491,1.94558614,0.789153524,13,1.342001805,0.550294617,19.18767223
615.87,56.7221,25,7.466284003,2.403144029,0.865817967,13,1.825114495,0.792520776,24.85839539
616.37,56.8108,17,4.526819476,1.654880914,0.700036393,12,1.567374044,0.694545043,24.93117384
616.57,56.8463,20,5.371721007,1.949079416,0.771390347,15,1.472535222,0.618106139,25.42770725
616.75,56.8782,24,6.908397139,2.305683206,0.829989713,12,1.717133853,0.729206349,25.62616456
617.57,57.0237,17,4.141282423,1.981875146,0.805422151,11,1.490078217,0.692742415,25.60940344
617.87,57.0769,18,5.121159593,1.681720458,0.624403888,10,1.311886548,0.555609921,25.78666727
618.27,57.1432,20,5.28726702,1.955230573,0.766131692,11,1.628327877,0.71757651,25.85308398
618.57,57.1912,17,4.190352828,1.775151269,0.742814774,10,1.169921645,0.510851181,25.78821827
618.86,57.2376,20,5.532579475,2.123517114,0.8071,12,1.654268163,0.71350479,25.60841624
619.57,57.3512,21,5.546369503,1.929028612,0.754503597,11,1.550378066,0.693965442,25.50949844
619.97,57.4152,19,5.158699093,1.744969906,0.68995,13,1.283162854,0.570177021,25.49230209
620.35,57.476,21,5.871983434,1.950232732,0.729863516,11,1.515041579,0.639882831,25.31752138
620.57,57.5112,20,5.453922159,1.872708076,0.772559171,14,1.424074839,0.620831291,25.35635684
620.835,57.5536,19,5.196520516,1.76402758,0.664254478,11,1.507975096,0.638962695,26.15490897
621.57,57.686,14,3.262805822,1.873910895,0.793408781,10,1.38884142,0.644671797,26.79234142
625.07,58.962,14,3.301305582,1.60100901,0.694964368,10,0.989030628,0.441694215,25.65879315
625.17,58.9649,28,8.047517122,2.48510759,0.855129747,13,1.894910176,0.780082856,25.99534669
625.77,58.982,14,3.366639082,1.26103591,0.503070486,9,0.605658961,0.22748309,27.47585973
626.17,58.9934,11,2.49688138,0.936074363,0.397608077,7,0.583851245,0.251874954,27.72476501
626.38,58.9994,11,2.534129107,0.980955777,0.441026475,7,0.318002233,0.110677083,27.63196832
627.17,59.022,17,4.394260114,1.455297812,0.619803941,11,0.755272377,0.283926234,28.46801301
627.43,59.0294,9,1.926433948,1.141220033,0.594002308,6,0.219807981,0.076412918,28.88649116
628.07,59.0477,13,3.087459709,1.174273506,0.507792982,8,0.427327755,0.159543182,29.79566163
628.17,59.0506,17,4.236715107,1.627066213,0.649943288,10,0.878894817,0.365380362,29.76827627
628.985,59.0739,16,3.905488077,1.289705148,0.504150972,10,0.76598806,0.297244444,30.33591787
629.17,59.0791,19,5.149456201,1.933491494,0.740773743,11,1.065543307,0.458891967,29.11851121
630.17,59.1077,13,3.078333847,1.726015554,0.723610819,8,0.820417997,0.353113968,28.85009238
630.45,59.1157,16,3.996324766,1.056969477,0.429724178,8,0.467667699,0.174144594,29.7240278
630.87,59.1277,12,2.732393757,0.892031232,0.348539686,6,0.301237196,0.112027524,29.42834867
631.07,59.1334,12,2.754719304,1.028814785,0.445621216,6,0.258290207,0.091855956,31.17255024
631.17,59.1363,17,4.345124469,1.786238871,0.750071636,9,0.76518679,0.319095776,30.84407636
632.17,59.1649,22,5.641301771,2.049906644,0.798776316,12,1.233545521,0.527425831,18.50217178
632.34,59.1697,16,4.002387707,1.830540491,0.765962092,9,0.727562174,0.29409621,18.7094981
632.57,59.1763,17,4.219009142,1.680786385,0.742544528,10,0.927143343,0.483282488,18.4396967
633.17,59.1934,18,4.519593457,1.941258798,0.806404915,9,1.006970588,0.495580393,18.3806312
633.47,59.202,15,3.65376173,1.264571069,0.57343658,9,0.547067175,0.207304527,18.70148513
634.06,59.2189,6,1.260273016,0.939431709,0.545881028,4,0.261726536,0.105179208,18.1565177
634.57,59.2334,9,1.911534611,0.674704004,0.293922904,5,0.190952588,0.066139233,18.79712802
634.66,59.236,16,4.002387707,1.159381791,0.518342212,10,0.472210669,0.161712353,19.1663137
634.98,59.2497,15,3.643282936,1.816153226,0.783347109,8,0.958546162,0.446300816,18.98875648
635.71,59.2891,18,4.721169057,1.431372417,0.585334585,10,0.669779182,0.2770193,20.26550264
636.16,59.3134,18,4.705714206,1.143272516,0.418319438,7,0.455998832,0.174050335,20.16731246
636.45,59.3291,15,3.726096599,1.557202095,0.644092803,9,0.998198607,0.43995,19.78072131
637.45,59.383,19,4.927527781,1.327870306,0.591412744,9,0.6111581,0.232379497,19.17486415
638.545,59.4421,18,4.632151067,1.717616999,0.684711616,9,0.994867968,0.421587302,18.79354425
639.47,59.4921,15,3.486753873,1.178876789,0.477276954,8,0.960694383,0.435085381,18.45595833
640.07,59.5245,19,4.863562495,1.863091121,0.746247929,9,0.564902495,0.216974944,18.86093031
640.63,59.5547,21,5.769146198,2.024312132,0.774390776,9,0.968581822,0.407528345,18.76750501
641.02,59.5757,18,4.453902331,1.359756224,0.511249818,9,1.094676565,0.465365493,19.35787111
641.52,59.6027,17,4.305197816,1.927037969,0.752569796,9,0.993883905,0.424125514,17.20723954
641.63,59.6087,25,7.147610306,2.090118481,0.742815734,11,1.330176157,0.535308642,16.83814865
641.97,59.627,16,3.783139685,1.102406081,0.412231445,8,0.773560918,0.321904644,16.43557498
644.58,59.7679,26,7.612998645,1.966861692,0.740433675,12,1.247902323,0.525123967,15.92260838
645.86,59.837,22,6.383159852,2.213119041,0.819162504,11,1.642437942,0.702163993,15.89626456
647.36,59.9179,23,6.834020437,2.273338729,0.82399057,12,1.780438809,0.75767313,15.78293566
647.57,59.9293,20,5.482765927,1.477531203,0.597691853,11,1.26606493,0.570381921,15.91486424
654.18,60.286,23,8.452463483,2.120565908,0.747916666,10,1.50513582,0.653057851,15.895887
655.16,60.3389,21,6.03254217,1.944924875,0.68963989,8,1.002032589,0.421567444,15.90276514
655.67,60.3665,22,5.662303581,1.718810214,0.705925926,11,1.348921831,0.652002984,15.87141792
656.66,60.4199,23,6.596020228,2.11479663,0.786520455,9,1.25610317,0.551530006,15.78190783
657.38,60.4588,20,5.194251423,1.750878209,0.722151222,11,1.417494462,0.674494649,15.62658074
658.16,60.5009,17,4.408840409,1.812528709,0.720876586,9,1.044938615,0.449493824,15.68319893
658.67,60.5284,16,4.065830352,1.625941483,0.698193003,8,1.318263903,0.649729279,17.04835811
659.66,60.5818,26,7.90641039,2.252859572,0.779123415,9,1.400582171,0.610691891,18.01080387
660.18,60.6099,15,3.494976179,1.282950754,0.531746033,7,1.001866945,0.47927355,17.24518984
660.69,60.6374,21,5.759342364,1.542110338,0.563028666,8,0.981368377,0.456054446,17.4911934
661.68,60.6909,21,5.656692735,1.87430791,0.738938054,11,1.351040612,0.646350528,17.57365926
662.46,60.733,21,5.74962086,2.003966521,0.75085734,9,1.11581511,0.483219305,17.88412573
663.18,60.7718,22,6.170155491,1.684437564,0.679423282,11,1.296614981,0.617292339,18.93481686
663.46,60.7869,20,5.416612943,1.818604992,0.673949803,8,1.02482118,0.439661239,17.90006288
663.78,60.8042,22,6.225893717,2.368256548,0.863964154,10,1.648420564,0.739570718,18.11399385
664.96,60.8679,19,5.020067959,1.563885943,0.641375171,10,1.176686714,0.58009968,18.04442218
665.27,60.8846,20,5.224323417,1.893323008,0.730792213,9,1.327827063,0.635366904,18.15756962
666.46,60.9489,21,6.03254217,1.632519187,0.587036014,9,1.041456705,0.46298953,18.54890032
666.78,60.9661,22,6.148533814,1.890722861,0.713337409,9,1.218314499,0.586838817,18.50096476
668.025,61.0333,19,4.988230293,1.71970702,0.676487606,9,1.219859315,0.571028495,18.67046036
668.27,61.0466,20,5.416612943,2.029011715,0.762415449,11,1.410437824,0.636633794,18.5506199
669.46,61.1108,13,3.204357812,1.173851917,0.500845304,8,0.678905926,0.271799629,18.57762834
669.77,61.1275,25,7.183980842,2.160370184,0.813062888,11,1.587462627,0.734140715,18.96480132
673.36,61.3213,17,3.744736021,1.07776459,0.448222308,8,0.693928467,0.3373552,18.82661675
674.55,61.3855,21,5.789005551,1.409442332,0.560786755,10,1.032435161,0.501977723,18.82797652
674.94,61.4066,13,2.835450793,0.827997341,0.337401655,7,0.710342946,0.324356962,18.64558815
675.57,61.4406,18,3.172814348,0.280467375,0.082783566,9,0.213588592,0.072508585,18.49503227
682.77,61.8292,22,5.31109513,1.575261711,0.676268698,11,1.35460872,0.654372397,19.16653842
683.09,61.8465,21,5.570865614,2.087505982,0.811512496,10,1.457361526,0.684922103,19.51685757
683.26,61.8557,21,5.665650414,1.77923509,0.714903702,11,1.447507056,0.670156643,20.79935884
684.23,61.908,18,4.590751126,2.027949321,0.787711774,8,1.166619148,0.553250228,20.42754611
684.27,61.9102,24,6.659629836,1.690335504,0.592048584,10,0.964811551,0.39528871,20.60565327
692.97,64.6785,19,4.729553034,2.139258472,0.803166877,7,1.074870773,0.529384757,20.72189737
694.47,64.8061,18,4.632151067,2.245379348,0.859196167,9,1.505686762,0.687989227,21.06288955
695.97,64.9336,19,4.803702781,2.219694199,0.836704343,8,0.740306999,0.310982345,21.45213989
697.47,65.3089,15,4.525054834,1.679667557,0.734999998,8,0.648400995,0.263715392,22.03227538
698.61,65.6431,18,5.493580247,1.549283246,0.630918366,7,0.902202852,0.384773663,21.43562311
698.79,66.4318,17,4.997541084,1.765745739,0.69764566,7,1.339992681,0.618842975,21.75170706
698.85,66.4425,14,3.588014109,0.931180547,0.347139646,7,1.517025398,0.711734694,21.4796571
698.89,66.4496,18,6.037256983,2.075693793,0.782206909,10,1.68028827,0.718792867,22.91344639
698.93,66.4567,17,4.983946662,2.035375921,0.77950835,7,0.942384023,0.409379794,23.01769275
698.955,66.4612,15,4.109628186,1.873218229,0.758222296,8,0.770748535,0.349821923,22.74344177
699.2,66.5049,14,4.430310773,1.99495766,0.8232,6,0.848617009,0.392223161,24.12505573
699.9,66.6297,10,2.655962122,1.832895365,0.798947704,5,0.784776442,0.400226223,24.92441454
700.48,66.7331,10,2.459330594,1.395384736,0.643026004,6,0.561698071,0.242743484,26.16076405
701.46,66.9078,11,2.558054995,1.396872756,0.59954908,7,0.609734263,0.254361599,25.7831236
701.7,66.9506,11,2.860202063,1.038470666,0.408950528,7,0.742416148,0.316928069,19.68493386
702.58,67.1075,11,4.410581155,1.81013642,0.728029988,6,1.099903868,0.517013233,19.8321091
704.06,67.3714,11,2.504085224,1.450415169,0.651,8,0.666841069,0.289778144,19.87369591
704.66,67.4784,8,2.302803179,1.493596028,0.669367284,5,0.783042459,0.357698962,20.25373846
705.56,67.6388,11,2.831171828,1.80019438,0.759286694,6,0.813526606,0.379904,20.68041198
706.15,67.744,12,3.361599879,1.162662997,0.54592747,5,0.7645281,0.445256067,21.31368601
707.08,67.9098,11,3.453924729,1.42162316,0.5853125,7,0.812539324,0.343396863,21.93244931
708.58,68.1773,9,1.961253955,1.367986809,0.623776761,6,0.70945872,0.357281873,22.38132196
709.16,68.2716,14,4.356175016,1.681246173,0.723742605,7,0.760206645,0.334863789,25.79095468
710.06,68.2951,12,2.980902341,1.868939048,0.803762641,7,1.269959362,0.631915526,26.30024192
710.66,68.3109,13,3.150650031,1.563150872,0.659613715,6,0.543740167,0.217349479,26.39605513
711.36,68.3292,10,2.355584629,1.725127611,0.779606768,6,0.97128867,0.514708124,26.31948232
711.66,68.337,11,2.668302795,1.761530563,0.792790734,5,0.731661872,0.387838487,26.46185395
711.85,68.342,12,3.299496173,1.65497311,0.740929856,6,0.977756068,0.483983334,27.05549587
712.15,68.3499,12,3.112150932,1.96547902,0.815489969,7,1.32547514,0.673251029,27.22453774
713.14,68.3758,14,3.391767374,1.707336002,0.743868002,7,0.883444797,0.412904138,28.07357913
713.46,68.3863,13,3.166210454,1.664151277,0.685367151,8,0.887804766,0.378265348,28.00319678
714.64,68.4329,12,2.865037139,1.699736161,0.728176668,7,1.06909311,0.545526693,28.94863221
714.94,68.4448,9,1.866385539,1.12953441,0.51931947,5,0.809689096,0.46982323,28.31368144
716.14,68.4921,12,3.083438023,1.986545362,0.821585099,6,0.975999031,0.451171206,29.76733676
716.44,68.504,8,1.693534465,1.325852099,0.656140645,5,0.531749258,0.232524285,29.87249372
717.69,68.5533,8,1.710695515,0.915946903,0.395664772,4,0.438878675,0.207738776,30.25715251
718.89,68.6007,11,2.678737921,1.689546253,0.707890625,5,0.76446627,0.347222222,29.60124812
719.21,68.6134,13,3.176861036,1.665650957,0.681460723,7,0.900823478,0.385123457,29.24128658
721.26,68.6943,13,3.01029236,1.74504983,0.781917996,7,0.427078232,0.162650232,29.42566316
721.56,68.7061,10,2.103498596,1.607354423,0.749470664,5,0.295509232,0.112222222,29.06650424
723.06,68.7654,16,3.75672115,1.625030118,0.711001691,7,0.432141143,0.169873126,28.91837542
724.32,68.8151,16,3.638342323,2.151101543,0.857595234,8,1.182722923,0.554558054,23.38593631
725.42,68.8586,10,2.124738681,1.247959851,0.535983348,5,0.563952115,0.269035438,23.2030406
725.72,68.8704,9,1.830732418,1.086115242,0.533753901,5,0.345906852,0.139982532,23.25119538
727.22,68.9296,10,2.397097905,1.629822885,0.688880345,5,0.686813023,0.314986185,28.46569357
728.74,68.9896,12,2.860323105,1.639922603,0.68060282,8,0.946861543,0.408395062,28.93367472
730.08,69.0426,12,3.00486846,1.659700888,0.680078125,7,0.948777444,0.408907388,
731.13,69.084,14,3.114101497,0.852836656,0.351554293,7,0.348343219,0.126058927,
732.63,69.1432,19,4.803702781,2.033646744,0.764954723,8,1.15946897,0.516885643,
734.13,69.2025,14,3.242444651,2.054843397,0.820451389,7,1.51468019,0.715412435,
735.63,69.2617,15,3.840377701,2.398174135,0.892676371,7,1.697088601,0.778448083,
736.99,69.3154,13,3.150650031,1.380770774,0.541286891,7,0.896848443,0.392881394,
738.45,69.373,17,5.599279425,1.970839068,0.78256635,9,1.019700132,0.435,
739.69,69.422,12,3.062779274,1.660718732,0.693653788,8,0.980988633,0.422143147,
740.46,69.4524,12,2.649229142,1.333136526,0.526342528,5,0.39408863,0.162343936,
740.78,69.465,14,3.786128929,1.807272279,0.751858023,7,1.153688823,0.538623083,
742.28,69.5243,13,2.786879292,1.266129658,0.502137474,7,0.570325688,0.240346739,
743.76,69.5827,10,2.261533085,1.832056351,0.776910626,5,1.217656143,0.615122457,
744.96,69.6301,9,2.128020494,1.857526435,0.798611111,4,0.608059251,0.300502044,
745.26,69.6419,16,3.801335444,1.884712497,0.725844042,9,1.007138603,0.42306167,
746.78,69.702,12,3.042823747,1.814615098,0.79886996,8,1.320186139,0.648639412,
750.18,69.8362,9,2.201880317,1.588165284,0.704404784,7,1.371022551,0.642990205,